sim,Team,Points,Wins,pl_wins,Losses,Tie
46,Pfinn,1517.17,5,4,10,0
46,David,1365.57,5,5,10,0
47,German,1769.4,12,11,3,0
47,Scott,1727.7,11,11,4,0
47,Brian,1661.1399999999999,8,7,7,0
47,Diaz,1577.44,8,7,7,0
47,Justin,1529,8,7,7,0
47,Bobby,1687.07,6,6,9,0
47,Eric,1458.46,6,6,9,0
47,Barrett,1423.97,6,6,9,0
47,Pfinn,1509.48,5,4,10,0
47,David,1371.6100000000001,5,5,10,0
48,Scott,1737.28,12,11,3,0
48,German,1735.26,11,11,4,0
48,Brian,1645.98,8,7,7,0
48,Justin,1525.78,8,7,7,0
48,Diaz,1546.69,7,7,8,0
48,Eric,1482.44,7,6,8,0
48,Bobby,1672.08,6,6,9,0
48,Barrett,1387.08,6,6,9,0
48,Pfinn,1485.92,5,4,10,0
48,David,1348.29,5,5,10,0
49,German,1806.05,12,11,3,0
49,Scott,1731.97,11,11,4,0
49,Diaz,1567.58,8,7,7,0
49,Bobby,1666.95,7,6,8,0
49,Brian,1610.1399999999999,7,7,8,0
49,Justin,1511.44,7,7,8,0
49,Eric,1466.54,6,6,9,0
49,Barrett,1419.3,6,6,9,0
49,David,1384.08,6,5,9,0
49,Pfinn,1497.92,5,4,10,0
50,Scott,1723.2,12,11,3,0
50,German,1712.82,11,11,4,0
50,Justin,1515.81,8,7,7,0
50,Bobby,1691,7,6,8,0
50,Brian,1634.43,7,7,8,0
50,Diaz,1571.94,7,7,8,0
50,Eric,1497.99,7,6,8,0
50,Barrett,1398.97,6,6,9,0
50,Pfinn,1489.12,5,4,10,0
50,David,1369.88,5,5,10,0
51,German,1798.47,12,11,3,0
51,Scott,1760.74,11,11,4,0
51,Brian,1646.96,8,7,7,0
51,Diaz,1588.42,8,7,7,0
51,Justin,1511.97,7,7,8,0
51,Bobby,1681.09,6,6,9,0
51,Eric,1495.19,6,6,9,0
51,David,1406.55,6,5,9,0
51,Barrett,1374.82,6,6,9,0
51,Pfinn,1505.25,5,4,10,0
52,German,1793,12,11,3,0
52,Scott,1754.6200000000001,11,11,4,0
52,Diaz,1565.39,8,7,7,0
52,Justin,1515.81,8,7,7,0
52,Bobby,1710.01,7,6,8,0
52,Brian,1629.78,7,7,8,0
52,Eric,1471.55,6,6,9,0
52,Barrett,1423.11,6,6,9,0
52,Pfinn,1503.94,5,4,10,0
52,David,1365.8700000000001,5,5,10,0
53,Scott,1766.6100000000001,12,11,3,0
53,German,1758.24,11,11,4,0
53,Diaz,1560.16,8,7,7,0
53,Justin,1518.03,8,7,7,0
53,Bobby,1683.1100000000001,7,6,8,0
53,Brian,1601.2,7,7,8,0
53,Eric,1477.28,6,6,9,0
53,Barrett,1396.07,6,6,9,0
53,Pfinn,1512.43,5,4,10,0
53,David,1365.1100000000001,5,5,10,0
54,German,1777.32,12,11,3,0
54,Scott,1712.8400000000001,11,11,4,0
54,Diaz,1580.91,8,7,7,0
54,Bobby,1682.44,7,6,8,0
54,Brian,1637.68,7,7,8,0
54,Justin,1520.53,7,7,8,0
54,Barrett,1425.83,7,6,8,0
54,Eric,1439.65,6,6,9,0
54,David,1385.55,6,5,9,0
54,Pfinn,1477.04,4,4,11,0
55,German,1763.14,12,11,3,0
55,Scott,1744.8,11,11,4,0
55,Brian,1657.72,8,7,7,0
55,Diaz,1563,8,7,7,0
55,Justin,1522.77,8,7,7,0
55,Bobby,1663.71,6,6,9,0
55,Eric,1457.13,6,6,9,0
55,Barrett,1396.57,6,6,9,0
55,Pfinn,1508.06,5,4,10,0
55,David,1371.88,5,5,10,0
56,Scott,1802.1100000000001,12,11,3,0
56,German,1765.83,11,11,4,0
56,Brian,1650.23,8,7,7,0
56,Justin,1529.8600000000001,8,7,7,0
56,Diaz,1551.18,7,7,8,0
56,Eric,1477.2,7,6,8,0
56,Barrett,1396.6,7,6,8,0
56,Bobby,1624.46,6,6,9,0
56,David,1356.17,5,5,10,0
56,Pfinn,1461.55,4,4,11,0
57,German,1755.66,12,11,3,0
57,Scott,1737.8500000000001,11,11,4,0
57,Brian,1634.25,8,7,7,0
57,Diaz,1569.94,7,7,8,0
57,Justin,1520,7,7,8,0
57,Eric,1508.22,7,6,8,0
57,Barrett,1405.87,7,6,8,0
57,Bobby,1651.97,6,6,9,0
57,David,1380.25,6,5,9,0
57,Pfinn,1467.16,4,4,11,0
58,Scott,1774.67,12,11,3,0
58,German,1764.74,11,11,4,0
58,Justin,1526.48,8,7,7,0
58,Bobby,1703.06,7,6,8,0
58,Brian,1643.47,7,7,8,0
58,Diaz,1553.3,7,7,8,0
58,Eric,1478.27,7,6,8,0
58,Barrett,1390.3799999999999,6,6,9,0
58,Pfinn,1471.34,5,4,10,0
58,David,1366.41,5,5,10,0
59,German,1827.22,12,11,3,0
59,Scott,1744.6100000000001,11,11,4,0
59,Bobby,1725.36,7,6,8,0
59,Brian,1637.04,7,7,8,0
59,Diaz,1569.65,7,7,8,0
59,Justin,1522.88,7,7,8,0
59,Eric,1508.71,7,6,8,0
59,Barrett,1412.83,7,6,8,0
59,David,1396.17,6,5,9,0
59,Pfinn,1480.91,4,4,11,0
60,German,1786.29,12,11,3,0
60,Scott,1752.08,11,11,4,0
60,Justin,1517.96,8,7,7,0
60,Bobby,1712.91,7,6,8,0
60,Brian,1634.2,7,7,8,0
60,Diaz,1536.02,7,7,8,0
60,Eric,1466.43,7,6,8,0
60,Barrett,1409.3899999999999,6,6,9,0
60,Pfinn,1499.79,5,4,10,0
60,David,1356.94,5,5,10,0
61,Scott,1753.05,12,11,3,0
61,German,1725.28,11,11,4,0
61,Justin,1524.45,8,7,7,0
61,Bobby,1680.41,7,6,8,0
61,Brian,1637.54,7,7,8,0
61,Diaz,1560.41,7,7,8,0
61,Eric,1491.43,7,6,8,0
61,Barrett,1414.28,6,6,9,0
61,Pfinn,1501.99,5,4,10,0
61,David,1354.49,5,5,10,0
62,Scott,1738.6200000000001,12,11,3,0
62,German,1684.6,11,11,4,0
62,Brian,1651.99,8,7,7,0
62,Diaz,1587.33,8,7,7,0
62,Justin,1532.8600000000001,8,7,7,0
62,Bobby,1651.95,6,6,9,0
62,Eric,1498.2,6,6,9,0
62,Barrett,1400.8,6,6,9,0
62,Pfinn,1504.72,5,4,10,0
62,David,1390.05,5,5,10,0
63,Scott,1742.74,12,11,3,0
63,German,1745.18,11,11,4,0
63,Justin,1531.04,8,7,7,0
63,Bobby,1688.88,7,6,8,0
63,Brian,1638.8899999999999,7,7,8,0
63,Diaz,1555.09,7,7,8,0
63,Eric,1499.75,7,6,8,0
63,Barrett,1415.11,7,6,8,0
63,David,1380.33,5,5,10,0
63,Pfinn,1480.67,4,4,11,0
64,German,1780.4,12,11,3,0
64,Scott,1764.46,11,11,4,0
64,Bobby,1694.83,7,6,8,0
64,Brian,1634.78,7,7,8,0
64,Diaz,1553.1100000000001,7,7,8,0
64,Justin,1510.81,7,7,8,0
64,Eric,1494.7,7,6,8,0
64,Barrett,1387.3899999999999,6,6,9,0
64,David,1380.88,6,5,9,0
64,Pfinn,1467.5,5,4,10,0
65,German,1770.28,12,11,3,0
65,Scott,1724.0900000000001,11,11,4,0
65,Brian,1645.17,8,7,7,0
65,Diaz,1567.84,8,7,7,0
65,Justin,1522.83,8,7,7,0
65,Barrett,1416.86,7,6,8,0
65,Bobby,1674.97,6,6,9,0
65,Eric,1470.8899999999999,6,6,9,0
65,David,1369.95,5,5,10,0
65,Pfinn,1487.13,4,4,11,0
66,German,1771.21,12,11,3,0
66,Scott,1756.8400000000001,11,11,4,0
66,Diaz,1570.06,8,7,7,0
66,Justin,1523.85,8,7,7,0
66,Bobby,1685.8700000000001,7,6,8,0
66,Brian,1618.99,7,7,8,0
66,Eric,1490.85,6,6,9,0
66,Barrett,1404.04,6,6,9,0
66,Pfinn,1482.12,5,4,10,0
66,David,1359.82,5,5,10,0
67,Scott,1785.24,12,11,3,0
67,German,1737.87,11,11,4,0
67,Brian,1659.2,8,7,7,0
67,Justin,1508.03,8,7,7,0
67,Diaz,1567.46,7,7,8,0
67,Eric,1502.27,7,6,8,0
67,Bobby,1677.92,6,6,9,0
67,Barrett,1387.95,6,6,9,0
67,Pfinn,1477.53,5,4,10,0
67,David,1361.56,5,5,10,0
68,German,1762.81,12,11,3,0
68,Scott,1727.8700000000001,11,11,4,0
68,Bobby,1678.1,7,6,8,0
68,Brian,1641.25,7,7,8,0
68,Diaz,1563.41,7,7,8,0
68,Justin,1503.65,7,7,8,0
68,Eric,1489.71,7,6,8,0
68,Barrett,1392.52,6,6,9,0
68,David,1376.46,6,5,9,0
68,Pfinn,1473.34,5,4,10,0
69,Scott,1787.52,12,11,3,0
69,German,1714.88,11,11,4,0
69,Diaz,1565.19,8,7,7,0
69,Bobby,1685.77,7,6,8,0
69,Brian,1640.68,7,7,8,0
69,Justin,1521.24,7,7,8,0
69,Eric,1484.56,6,6,9,0
69,Barrett,1391.85,6,6,9,0
69,David,1388.31,6,5,9,0
69,Pfinn,1475.21,5,4,10,0
70,German,1761.22,12,11,3,0
70,Scott,1722.89,11,11,4,0
70,Brian,1649.7,8,7,7,0
70,Diaz,1531.93,8,7,7,0
70,Justin,1528.78,8,7,7,0
70,Bobby,1642.14,6,6,9,0
70,Eric,1448.93,6,6,9,0
70,Barrett,1413.95,6,6,9,0
70,Pfinn,1491.78,5,4,10,0
70,David,1379.51,5,5,10,0
71,Scott,1801.72,12,11,3,0
71,German,1801.38,11,11,4,0
71,Diaz,1564.23,8,7,7,0
71,Justin,1521.24,8,7,7,0
71,Bobby,1727.05,7,6,8,0
71,Brian,1666.21,7,7,8,0
71,Eric,1460.98,6,6,9,0
71,Barrett,1373.49,6,6,9,0
71,Pfinn,1472.4,5,4,10,0
71,David,1359.48,5,5,10,0
72,Scott,1762.8,12,11,3,0
72,German,1718.62,11,11,4,0
