Team,Points,Wins,pl_wins,Losses,Tie,sim
PFinn,1904.3899999999999,10,10,5,0,38
David,1797.33,10,9,5,0,38
Scott,1847.81,9,8,6,0,38
Diaz,1751.63,9,9,6,0,38
Brian,1748.16,9,8,6,0,38
Barrett,1763.32,7,7,8,0,38
Bobby,1726.4,6,6,9,0,38
Eric,1582.54,4,3,11,0,38
Justin,1464.26,1,1,14,0,38
Bobby,2136.67,12,11,3,0,39
Scott,2131.73,12,11,3,0,39
German,1892.74,11,10,4,0,39
PFinn,1944.91,9,9,6,0,39
David,1698.53,9,8,6,0,39
Barrett,1755.33,6,6,9,0,39
Brian,1722.43,6,6,9,0,39
Diaz,1621.22,6,6,9,0,39
Justin,1494.02,2,2,13,0,39
Eric,1474.7,2,1,13,0,39
German,1841.01,12,12,3,0,40
PFinn,1948.69,11,10,4,0,40
Bobby,1883.6200000000001,11,10,4,0,40
Scott,1874.75,10,9,5,0,40
Barrett,1786.73,9,8,6,0,40
David,1673.63,8,8,7,0,40
Diaz,1569.6,7,7,8,0,40
Brian,1671.85,4,4,11,0,40
Eric,1532.05,3,2,12,0,40
Justin,1365.05,0,0,15,0,40
German,2182.82,13,12,2,0,41
Scott,1944.71,10,9,5,0,41
Bobby,2017.17,9,9,6,0,41
Barrett,1800.78,9,8,6,0,41
David,1691.5,8,8,7,0,41
PFinn,1758.38,7,7,8,0,41
Brian,1631.24,7,6,8,0,41
Eric,1587.59,7,6,8,0,41
Diaz,1487.02,4,4,11,0,41
Justin,1345.08,1,1,14,0,41
German,2001.98,14,13,1,0,42
Bobby,2055.68,12,11,3,0,42
PFinn,1845.37,11,11,4,0,42
David,1707.63,7,6,8,0,42
Scott,1701.36,7,6,8,0,42
Barrett,1660.4,7,7,8,0,42
Eric,1534.3,6,5,9,0,42
Brian,1673.75,5,5,10,0,42
Diaz,1469.18,4,4,11,0,42
Justin,1361.63,2,2,13,0,42
Scott,2009.73,13,12,2,0,43
PFinn,1828.84,11,10,4,0,43
David,1752.69,11,11,4,0,43
Barrett,1755.71,10,9,5,0,43
German,1774.83,9,9,6,0,43
Bobby,1664.92,7,6,8,0,43
Brian,1636.01,5,5,10,0,43
Eric,1485.27,5,4,10,0,43
Justin,1367.47,2,2,13,0,43
Diaz,1338.52,2,2,13,0,43
PFinn,2056.4,13,12,2,0,44
Diaz,1838.69,11,10,4,0,44
Scott,1890.84,9,9,6,0,44
Brian,1717.57,9,8,6,0,44
David,1632.98,8,7,7,0,44
Bobby,1591.13,7,7,8,0,44
Barrett,1587.9,7,7,8,0,44
German,1623.18,6,6,9,0,44
Eric,1423.25,3,2,12,0,44
Justin,1437.3,2,2,13,0,44
German,2083.69,14,13,1,0,45
Bobby,2291.95,11,10,4,0,45
Scott,1962.6399999999999,11,10,4,0,45
Barrett,1889.18,9,8,6,0,45
David,1755.29,9,9,6,0,45
PFinn,1812.27,8,8,7,0,45
Diaz,1675.09,5,5,10,0,45
Eric,1524.3600000000001,4,4,11,0,45
Brian,1640.57,3,3,12,0,45
Justin,1363.11,1,0,14,0,45
German,2097.37,13,12,2,0,46
Scott,2012.69,12,11,3,0,46
PFinn,2012.1,12,12,3,0,46
David,1718.84,8,8,7,0,46
Bobby,1792.6,7,7,8,0,46
Barrett,1751.73,7,6,8,0,46
Eric,1605.95,6,5,9,0,46
Diaz,1558.78,6,6,9,0,46
Brian,1537.1,3,2,12,0,46
Justin,1374.66,1,1,14,0,46
Scott,2238.43,12,11,3,0,47
Bobby,2015.3700000000001,12,11,3,0,47
PFinn,1980.01,11,11,4,0,47
German,1778.3,10,9,5,0,47
Barrett,1695.06,7,7,8,0,47
Brian,1666.32,6,6,9,0,47
David,1610.93,6,5,9,0,47
Diaz,1527.73,6,6,9,0,47
Eric,1350.56,4,4,11,0,47
Justin,1404.97,1,0,14,0,47
Scott,1897.04,11,11,4,0,48
PFinn,1881.84,10,10,5,0,48
Barrett,1774.14,10,9,5,0,48
Brian,1771.23,10,9,5,0,48
German,1885,9,8,6,0,48
Diaz,1867.19,9,8,6,0,48
Eric,1571.77,7,6,8,0,48
David,1666.34,5,5,10,0,48
Bobby,1716.33,4,4,11,0,48
Justin,1230.55,0,0,15,0,48
Bobby,2251.58,12,11,3,0,49
German,1906.13,12,12,3,0,49
Scott,2029.6,10,9,5,0,49
Barrett,1778.7,9,9,6,0,49
David,1612.57,9,8,6,0,49
PFinn,1866.18,8,7,7,0,49
Diaz,1728.8899999999999,6,6,9,0,49
Brian,1651.01,5,5,10,0,49
Eric,1385.55,4,3,11,0,49
Justin,1171.75,0,0,15,0,49
Scott,2277.15,13,12,2,0,50
Diaz,1945.99,11,11,4,0,50
Bobby,1880.77,10,10,5,0,50
PFinn,1856.75,9,9,6,0,50
German,1775.72,9,8,6,0,50
David,1678,9,8,6,0,50
Barrett,1612.78,5,5,10,0,50
Brian,1590.09,5,4,10,0,50
Justin,1492.79,2,2,13,0,50
Eric,1282.39,2,1,13,0,50
PFinn,1909.81,13,12,2,0,51
Bobby,1922.13,12,11,3,0,51
German,1931.03,10,10,5,0,51
Scott,1830.84,9,8,6,0,51
Brian,1690.09,8,8,7,0,51
Eric,1682.9,8,7,7,0,51
Barrett,1710.44,6,5,9,0,51
David,1628.06,5,5,10,0,51
Diaz,1580.31,3,3,12,0,51
Justin,1402.86,1,1,14,0,51
German,1911.46,12,12,3,0,52
Scott,1946.22,11,11,4,0,52
Bobby,1904.02,10,9,5,0,52
PFinn,1869.67,10,9,5,0,52
Diaz,1631.07,8,7,7,0,52
David,1681.29,7,7,8,0,52
Barrett,1629.94,7,6,8,0,52
Eric,1519.74,6,5,9,0,52
Brian,1579.08,4,4,11,0,52
Justin,1313.56,0,0,15,0,52
PFinn,1973.8899999999999,12,11,3,0,53
Bobby,1989.71,10,9,5,0,53
German,1816.68,9,9,6,0,53
David,1716.13,9,8,6,0,53
Scott,1841.04,8,7,7,0,53
Barrett,1745.8,6,6,9,0,53
Eric,1598.8,6,6,9,0,53
Brian,1592.92,6,6,9,0,53
Diaz,1549.16,5,5,10,0,53
Justin,1515.51,4,3,11,0,53
