Team,Points,Wins,pl_wins,Losses,Tie,sim
Burg,1448,4,4,10,0,63
Wikle,1692,9,9,5,0,64
Brazil,1802,8,8,6,0,64
Rebecca,1743.5,8,8,6,0,64
Jersey,1723,8,8,6,0,64
Ford,1828.5,7,7,7,0,64
Kral,1661.5,7,7,7,0,64
Jangaard,1620,7,7,7,0,64
Bethany,1618.5,7,7,7,0,64
Scott,1497.5,5,5,9,0,64
Burg,1448,4,4,10,0,64
Wikle,1692,9,9,5,0,65
Brazil,1802,8,8,6,0,65
Rebecca,1743.5,8,8,6,0,65
Jersey,1723,8,8,6,0,65
Ford,1828.5,7,7,7,0,65
Kral,1661.5,7,7,7,0,65
Jangaard,1620,7,7,7,0,65
Bethany,1618.5,7,7,7,0,65
Scott,1497.5,5,5,9,0,65
Burg,1448,4,4,10,0,65
Wikle,1692,9,9,5,0,66
Brazil,1802,8,8,6,0,66
Rebecca,1743.5,8,8,6,0,66
Jersey,1723,8,8,6,0,66
Ford,1828.5,7,7,7,0,66
Kral,1661.5,7,7,7,0,66
Jangaard,1620,7,7,7,0,66
Bethany,1618.5,7,7,7,0,66
Scott,1497.5,5,5,9,0,66
Burg,1448,4,4,10,0,66
Wikle,1692,9,9,5,0,67
Brazil,1802,8,8,6,0,67
Rebecca,1743.5,8,8,6,0,67
Jersey,1723,8,8,6,0,67
Ford,1828.5,7,7,7,0,67
Kral,1661.5,7,7,7,0,67
Jangaard,1620,7,7,7,0,67
Bethany,1618.5,7,7,7,0,67
Scott,1497.5,5,5,9,0,67
Burg,1448,4,4,10,0,67
Wikle,1692,9,9,5,0,68
Brazil,1802,8,8,6,0,68
Rebecca,1743.5,8,8,6,0,68
Jersey,1723,8,8,6,0,68
Ford,1828.5,7,7,7,0,68
Kral,1661.5,7,7,7,0,68
Jangaard,1620,7,7,7,0,68
Bethany,1618.5,7,7,7,0,68
Scott,1497.5,5,5,9,0,68
Burg,1448,4,4,10,0,68
Wikle,1692,9,9,5,0,69
Brazil,1802,8,8,6,0,69
Rebecca,1743.5,8,8,6,0,69
Jersey,1723,8,8,6,0,69
Ford,1828.5,7,7,7,0,69
Kral,1661.5,7,7,7,0,69
Jangaard,1620,7,7,7,0,69
Bethany,1618.5,7,7,7,0,69
Scott,1497.5,5,5,9,0,69
Burg,1448,4,4,10,0,69
Wikle,1692,9,9,5,0,70
Brazil,1802,8,8,6,0,70
Rebecca,1743.5,8,8,6,0,70
Jersey,1723,8,8,6,0,70
Ford,1828.5,7,7,7,0,70
Kral,1661.5,7,7,7,0,70
Jangaard,1620,7,7,7,0,70
Bethany,1618.5,7,7,7,0,70
Scott,1497.5,5,5,9,0,70
Burg,1448,4,4,10,0,70
Wikle,1692,9,9,5,0,71
Brazil,1802,8,8,6,0,71
Rebecca,1743.5,8,8,6,0,71
Jersey,1723,8,8,6,0,71
Ford,1828.5,7,7,7,0,71
Kral,1661.5,7,7,7,0,71
Jangaard,1620,7,7,7,0,71
Bethany,1618.5,7,7,7,0,71
Scott,1497.5,5,5,9,0,71
Burg,1448,4,4,10,0,71
Wikle,1692,9,9,5,0,72
Brazil,1802,8,8,6,0,72
Rebecca,1743.5,8,8,6,0,72
Jersey,1723,8,8,6,0,72
Ford,1828.5,7,7,7,0,72
Kral,1661.5,7,7,7,0,72
Jangaard,1620,7,7,7,0,72
Bethany,1618.5,7,7,7,0,72
Scott,1497.5,5,5,9,0,72
Burg,1448,4,4,10,0,72
Wikle,1692,9,9,5,0,73
Brazil,1802,8,8,6,0,73
Rebecca,1743.5,8,8,6,0,73
Jersey,1723,8,8,6,0,73
Ford,1828.5,7,7,7,0,73
Kral,1661.5,7,7,7,0,73
Jangaard,1620,7,7,7,0,73
Bethany,1618.5,7,7,7,0,73
Scott,1497.5,5,5,9,0,73
Burg,1448,4,4,10,0,73
Wikle,1692,9,9,5,0,74
Brazil,1802,8,8,6,0,74
Rebecca,1743.5,8,8,6,0,74
Jersey,1723,8,8,6,0,74
Ford,1828.5,7,7,7,0,74
Kral,1661.5,7,7,7,0,74
Jangaard,1620,7,7,7,0,74
Bethany,1618.5,7,7,7,0,74
